titulo,empresa,salario,ubicacion,tipo_de_trabajo,fecha_de_publicacion,enlace
Mid- Level Big Data Developer,Talan,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/mid-level-big-data-developer-talan/big-data-spark/rf-002c17846262f33c5a4c
Analista de Sistemas Bikesharing,Pedalem Barcelona,30.000€ - 33.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-sistemas-bikesharing-pedalem-barcelona/api-rest-azure/rf-f62f1d5922a8d3917d41
Backend Developer (PHP) con perfil DevOps,Recubik Cartelería Digital,21.000€ - 30.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/backend-developer-php-con-perfil-devops-recubik-ca/linux-nginx/rf-d1c717fe6275338b824c
Consultor/a - Implantador/a de Prologic ERP,Logical Rioja,,,,03/04/2026,https://www.tecnoempleo.com/consultor-implantador-prologic-erp-logical-rioja/sql/rf-203a1740622d6376c546
Analista de Ciberseguridad,UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-ciberseguridad-ust/firewall-vpn/rf-95811b17b293a3807444
Senior Backend Engineer (Certificado discapacidad),Randstad ES,30.000€ - 42.000€,,,03/04/2026,https://www.tecnoempleo.com/senior-backend-engineer-certificado-discapacidad-r/java-spring-boot/rf-4d7e14c1527de3abcf4a
Back-end Developer,Plexus,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/back-end-developer-plexus/spark-scala/rf-0b701d25f28f33107d45
Desarrollador/a React (con Inglés),Devoteam,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-react-con-ingles-devoteam/react-native-cloud/rf-5c5219cbe26f131eba48
Analista Programador/a .NET + Testing,sg tech,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-programador-net-testing-sg-tech/net-gherkin/rf-5c1d1a7af209b303da44
Desarrollador/a Fullstack .NET,Sopra Steria,,Madrid,,03/04/2026,https://www.tecnoempleo.com/desarrollador-fullstack-net-sopra-steria/c-net-core/rf-4e901f51e22f5362bc46
Junior Software Engineer Backend (Java/Kotlin),Aubay,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/junior-software-engineer-backend-java-kotlin-aubay/spring-boot-mysql/rf-f5c318b6a2b373f1f24d
IT Support Technician,UST,,Barcelona,Presencial,03/04/2026,https://www.tecnoempleo.com/it-support-technician-ust/mfa-pki/rf-81651df1b2d463e9d249
DevOps Engineer,UST,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/devops-engineer-ust/docker-kubernetes/rf-86fc1d303227e3bc2b4b
Data Analyst (Spark/Scala),UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/data-analyst-spark-scala-ust/shell-bash/rf-5d4318e3a2a4c3d84e4d
Machine Learning / AI Engineer,UST,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/machine-learning-ai-engineer-ust/python-tensorflow/rf-dd02189052f703101a4a
DevOps Engineer (Openshift & Kubernetes),UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/devops-engineer-openshift-kubernetes-ust/git-github/rf-15bf1d61425583d0874a
QA Engineer (Aplicaciones Móviles),UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/qa-engineer-aplicaciones-moviles-ust/ios-android/rf-364b1360e21843573947
Software Development Engineer,Amazon,,Madrid,,03/04/2026,https://www.tecnoempleo.com/software-development-engineer-amazon/react-native-java/rf-28bc15f1e250236a0249
Desarrollador/a Java/Python - Testing & IA,GFR Technologies SE,,Madrid,,03/04/2026,https://www.tecnoempleo.com/desarrollador-java-python-testing-ia-gfr-technolog/inteligencia-artificial/rf-cd5f10b85292a334a841
IT Support Technician,Amazon,,Sevilla,,03/04/2026,https://www.tecnoempleo.com/it-support-technician-amazon/office-windows/rf-df911322b21c03995440
Junior Big Data Developer,Talan,,Málaga,Híbrido,03/04/2026,https://www.tecnoempleo.com/junior-big-data-developer-talan/scala-spark/rf-99a3145922b163ab5c42
Desarrollador/a Front-End React,sg tech,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/desarrollador-front-end-react-sg-tech/typescript-javascript/rf-5efc181562a1836db144
Project Manager / Scrum Master,Randstad ES,,Madrid,,03/04/2026,https://www.tecnoempleo.com/project-manager-scrum-master-randstad-es/jira/rf-6d051e41129af35d3f4c
Angular Software Engineer (B2+),Serem,33.000€ - 36.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/angular-software-engineer-b2-serem/visual-studio-ide-git-flow/rf-d99b13bd127c23463c41
Analista de Software con Experiencia en el Mercado,ZATACA SYSTEMS,36.000€ - 45.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-software-con-experiencia-en-el-mercado-za/sql-php/rf-20221863e23b43013940
Information Security & IT Risk Senior Analyst,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/information-security-it-risk-senior-analyst-serem/linux-aws/rf-da401aef828873496a4d
Junior Data Analyst (Quicksight) - Hibrido Madrid,Second Window,,Madrid,,03/04/2026,https://www.tecnoempleo.com/junior-data-analyst-quicksight-hibrido-madrid-seco/amazon-quicksight-pytho/rf-d1df1fc0922eb33b1f46
Consultor/a senior Expert SAP SD,Serem,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultor-senior-expert-sap-sd-serem/sap-sd/rf-dd971b16127443dec442
Frontend Developer,CMV Consultores,36.000€ - 39.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/frontend-developer-cmv-consultores/angular-nodejs/rf-9193141c12482335774a
Desarrollador/a Web Junior,CRC Obras y Servicios,,Barcelona,Presencial,03/04/2026,https://www.tecnoempleo.com/desarrollador-web-junior-crc-obras-servicios/php-javascript/rf-3f2a173282aa13abe54c
Proyecto IT Preventa - Sector Sanitario,Digital Talent Agency,,Granada,100% remoto,03/04/2026,https://www.tecnoempleo.com/proyecto-it-preventa-sector-sanitario-digital-tale/hl7-fhir/rf-727b14e6b2dcf3c7c748
Desarrollador/a .Net + Testing,Arelance,33.000€ - 42.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/desarrollador-net-testing-arelance/net-gherkin/rf-2fd0121702b933585a42
Analista Programador/a .NET,CAS TRAINING,,,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-programador-net-cas-training/net-visual-basic/rf-dccf177a92a25309ac44
Senior Frontend Developer,Baoss,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/senior-frontend-developer-baoss/react-typescript/rf-38df1e6a12aef3f1c04e
Analistas Programadores .Net,Seltime,33.000€ - 42.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analistas-programadores-net-seltime/net-framework-45-c/rf-f7881a11e25533986140
Analista Programador/a Cobol,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/analista-programador-cobol-serem/cobol-cics-db2/rf-c2f31e858259038b9c42
Analista Programador/a Java,Baoss,,Madrid,,03/04/2026,https://www.tecnoempleo.com/analista-programador-java-baoss/spring-oracle/rf-3caf1cf5d25f239e1348
Técnico/a de Comunicaciones,Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/tecnico-comunicaciones-baoss/cisco-fortinet/rf-6b431c5ff21f53117749
Ingeniero/a de IA,Inkoova,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-ia-inkoova/python-go-golang/rf-574c197ba28a03fdb24e
Analista Funcional SAP SD,Serem,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/analista-funcional-sap-sd-serem/sap-sd-otc/rf-295314d5f27a63993145
Arquitecto/a Infraestructura IT,CMV Consultores,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/arquitecto-infraestructura-it-cmv-consultores/jira-itsm/rf-c48419c532b5b308b644
Ingeniero/a Middleware (Redis / Kafka) AWS,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-middleware-redis-kafka-aws-serem/ansible-terraform/rf-43301ef4422783ea7141
Técnico/a micro,Grupo Sermicro,,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-micro-grupo-sermicro/microinformatica/rf-dc3b1090b2dea3576842
Ingeniero/a Apigee,Baoss,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/ingeniero-apigee-baoss/oauth2-openid/rf-1ebd1d2b023013efb242
Network & DC Engineer Satelital,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/network-dc-engineer-satelital-serem/vmware-kvm/rf-9b21183de2af23df864b
Network Engineer - IMS & VoLTE (Plataformas IoT),UST,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/network-engineer-ims-volte-plataformas-iot-ust/redes-voip/rf-8b9c16295237d3a82141
Especialista BMC Hélix,Serem,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/especialista-bmc-helix-serem/itsm-remedy/rf-1a381bc882425323c440
Lead Software Architect - IA / ML / MLOps,Social You,48.000€ - 60.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/lead-software-architect-ia-ml-mlops-social-you/llmops-generative-ai/rf-09241e93626463e1fa46
Técnico informático turnos con inglés,Quental,21.000€ - 27.000€,,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-informatico-turnos-con-ingles-quental/vmware-sql/rf-056a1efab2c3034ae541
PMO,Seltime,36.000€ - 42.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/pmo-seltime/scrum-jira/rf-e9591a7fd22c23b2e44c
Consultores MS Dynamics 365 CRM,Seltime,33.000€ - 45.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/consultores-ms-dynamics-365-crm-seltime/dynamics-365-javascript/rf-686810f292bcc33e9448
.NET Developer,Baoss,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/net-developer-baoss/net-net-core/rf-47af1d54622da32be346
Data Engineer - Teradata  (Junior+Senior),CAS TRAINING,33.000€ - 45.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/data-engineer-teradata-junior-senior-cas-training/teradata/rf-ad13182b62c8e398be46
Técnico Qualys - (Gestión de Vulnerabilidades),Baoss,,Madrid,,03/04/2026,https://www.tecnoempleo.com/tecnico-qualys-gestion-vulnerabilidades-baoss/qualys/rf-f5de193e623b932c6149
Senior Developer Angular / IONIC,Serem,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/senior-developer-angular-ionic-serem/android/rf-65951fccd2405379574d
Técnico/a Soporte (Windows),Serem,16.000€ - 18.000€,Madrid,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-soporte-windows-serem/office/rf-10211e0e32c1931f7445
Técnico/a microinformatica,Grupo Sermicro,,Madrid,Presencial,03/04/2026,https://www.tecnoempleo.com/tecnico-microinformatica-grupo-sermicro/microinformatica/rf-cbd8198a12b6a3079d4e
Administrador de sistemas,Concesur,,Sevilla,Presencial,03/04/2026,https://www.tecnoempleo.com/administrador-sistemas-concesur/active-directory-autoline/rf-feea119752d1f3ad5d4d
Desarrollador/a Golang,Baoss,,Madrid,,03/04/2026,https://www.tecnoempleo.com/desarrollador-golang-baoss/api/rf-60001e9d923863119941
Team Leader / Engineering Lead,Serem,,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/team-leader-engineering-lead-serem/java-angular/rf-ac9d1baac25d636eb64c
Jefe/a de Proyectos de Transformación - S.Publico,Digital Talent Agency,,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/jefe-proyectos-transformacion-spublico-digital-tal/cloud-pmp/rf-d8111485f216b3740943
Desarrollador Java/Springboot /Apis,Second Window,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/desarrollador-java-springboot-apis-second-window/sql/rf-ebf81f825211d3356f41
Analista Programador/a .NET,Baoss,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/analista-programador-net-baoss/net-visual-basic/rf-767c198bf2bb735da440
Desarrollador/a C++,CMV Consultores,39.000€ - 42.000€,Madrid,Híbrido,03/04/2026,https://www.tecnoempleo.com/desarrollador-c-cmv-consultores/c-emv/rf-d851187ff2bed3c2c84a
Junior React Native Developer,SiliconDali Development,,,Presencial,03/04/2026,https://www.tecnoempleo.com/junior-react-native-developer-silicondali-developm/react-native-javascript/rf-41051b9be2ded3977b4f
Analista Programador .NET,Second Window,,Madrid,,03/04/2026,https://www.tecnoempleo.com/analista-programador-net-second-window/net-mvc/rf-49f81c78125853007347
Data Scientist MID,CMV Consultores,33.000€ - 39.000€,Barcelona,Híbrido,03/04/2026,https://www.tecnoempleo.com/data-scientist-mid-cmv-consultores/python-pandas/rf-86511707b2d7a3b7a44b
Genesys Cloud Architect / Developer,PANEL Sistemas Informáticos,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/genesys-cloud-architect-developer-panel-sistemas-i/genesys-cloud-cx-genesy/rf-3ad91b496218e3ac8341
Desarrollador Java / Microservicios,Arelance,30.000€ - 36.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/desarrollador-java-microservicios-arelance/spring-git/rf-dc421cdf122153731244
Técnico Analista C# NET SAP BusinessOne,Axalpha Consulting,,Barcelona,,03/04/2026,https://www.tecnoempleo.com/tecnico-analista-c-net-sap-businessone-axalpha-con/c-net/rf-923f1d5502f5e3317c4b
Ingeniero/a de Red CORE,PANEL Sistemas Informáticos,,,100% remoto,03/04/2026,https://www.tecnoempleo.com/ingeniero-red-core-panel-sistemas-informaticos/ims-volte/rf-c9e91c51c2df73d41a4e
React Native Middle - Promofarma,Second Window,,Madrid,100% remoto,03/04/2026,https://www.tecnoempleo.com/react-native-middle-promofarma-second-window/react-native/rf-601b1793a2abc3b3a64d
Programador/a Natural Adabas,CAS TRAINING,21.000€ - 24.000€,,100% remoto,03/04/2026,https://www.tecnoempleo.com/programador-natural-adabas-cas-training/jcl/rf-8f4610a5b2ac1366a848
